school_name,city_name,state_name,cost,grad_rate,salary,website
Edgewood College,Madison,WI,"$23,839",61%,"$43,300",http://www.edgewood.edu
Viterbo University,La Crosse,WI,"$18,954",49%,"$43,200",http://www.viterbo.edu
Concordia University-Wisconsin,Mequon,WI,"$25,324",57%,"$42,800",http://www.cuw.edu
Lakeland University,Plymouth,WI,"$21,229",53%,"$42,800",http://www.lakeland.edu
University of Wisconsin-Oshkosh,Oshkosh,WI,"$15,192",52%,"$42,700",http://www.uwosh.edu
University of Wisconsin-Whitewater,Whitewater,WI,"$15,069",59%,"$42,600",http://www.uww.edu
University of Wyoming,Laramie,WY,"$12,578",55%,"$47,300",http://www.uwyo.edu
Wyotech-Laramie,Laramie,WY,"$25,569",78%,"$45,600",https://www.wyotech.edu/campus/laramie
Casper College,Casper,WY,"$6,285",32%,"$35,500",http://www.caspercollege.edu
Sheridan College,Sheridan,WY,"$8,374",35%,"$35,400",http://www.sheridan.edu
Laramie County Community College,Cheyenne,WY,"$6,452",23%,"$34,600",http://www.lccc.wy.edu
Western Wyoming Community College,Rock Springs,WY,"$6,307",38%,"$31,800",https://www.westernwyoming.edu
Northwest College,Powell,WY,"$5,846",33%,"$30,000",http://www.nwc.edu
Eastern Wyoming College,Torrington,WY,"$5,800",39%,"$28,500",http://ewc.wy.edu
Central Wyoming College,Riverton,WY,"$3,901",27%,"$28,400",http://www.cwc.edu/
